0
a
a
a
s
s
b
b
b
b
b
c
c
b
b
c
d
d
d
k
d
e
e
e
e
e
f
f
f
b
b
t
t
t
t
t
h
t
t
t
t
i
i
i
i
i
k
k
k
k
k
d
d
d
l
d
m
a
m
m
a
n
n
s
n
n
o
o
o
o
b
d
k
k
r
q
q
q
q
q
q
u
u
r
u
u
s
s
s
s
s
t
t
t
t
t
u
u
u
u
u
v
r
r
r
r
w
w
w
w
w
x
x
x
x
x
y
y
y
y
y
a
a
a
a
a
b
b
b
b
b
o
c
c
c
o
k
k
d
k
k
s
s
s
s
s
f
f
f
f
f
g
g
g
g
g
h
h
h
h
h
i
i
i
i
i
k
k
k
k
k
l
d
k
l
l
m
n
m
m
m
n
n
n
n
m
o
o
o
a
o
p
p
p
p
p
q
q
q
q
q
r
r
r
r
r
s
s
s
m
a
t
t
t
t
t
v
r
r
r
r
v
v
v
u
r
w
w
v
w
w
x
d
d
d
d
y
y
y
y
y
